,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.7116211757659912,1.3897772022247314,0.34878,0.4792,0.69846,0.823,17439.0,4792.0,34923.0,8230.0,50000,10000,102.52019047737122,1563,157,0
0,1.258124881591797,1.0630518877029418,0.54312,0.6236,0.84682,0.8884,27156.0,6236.0,42341.0,8884.0,50000,10000,99.63268613815308,1563,157,1
0,0.9876976315307617,0.8382155247688293,0.64846,0.7044,0.90044,0.9318,32423.0,7044.0,45022.0,9318.0,50000,10000,99.36744737625122,1563,157,2
0,0.8181764904022217,0.7325521942138672,0.7114,0.7469,0.92736,0.9387,35570.0,7469.0,46368.0,9387.0,50000,10000,99.99456858634949,1563,157,3
0,0.7119924275302887,0.6826901681900024,0.75226,0.7654,0.94326,0.9461,37613.0,7654.0,47163.0,9461.0,50000,10000,99.06304931640625,1563,157,4
0,0.6457998142147064,0.5865086908340454,0.77548,0.7982,0.9509,0.9607,38774.0,7982.0,47545.0,9607.0,50000,10000,99.07869338989258,1563,157,5
0,0.5970796340274811,0.5565644954204559,0.79476,0.8115,0.95618,0.959,39738.0,8115.0,47809.0,9590.0,50000,10000,99.09936761856079,1563,157,6
0,0.5567872690582275,0.5046280347824097,0.80848,0.8278,0.9614,0.9659,40424.0,8278.0,48070.0,9659.0,50000,10000,99.16350221633911,1563,157,7
0,0.5277027631282807,0.499418860912323,0.81696,0.8297,0.96274,0.9684,40848.0,8297.0,48137.0,9684.0,50000,10000,99.7580258846283,1563,157,8
0,0.4976676500701904,0.49983477511405944,0.82944,0.8324,0.96788,0.9676,41472.0,8324.0,48394.0,9676.0,50000,10000,99.5067892074585,1563,157,9
0,0.47466264185905455,0.4766990255832672,0.83506,0.8402,0.96924,0.9694,41753.0,8402.0,48462.0,9694.0,50000,10000,99.72768902778625,1563,157,10
0,0.46242162974357603,0.4483284580230713,0.83972,0.8494,0.97042,0.9719,41986.0,8494.0,48521.0,9719.0,50000,10000,99.37633442878723,1563,157,11
0,0.4426563588571548,0.45203386363983156,0.84814,0.8449,0.97226,0.975,42407.0,8449.0,48613.0,9750.0,50000,10000,99.40190696716309,1563,157,12
0,0.42849684060096743,0.43529706206321717,0.85098,0.8503,0.97392,0.9742,42549.0,8503.0,48696.0,9742.0,50000,10000,99.27827191352844,1563,157,13
0,0.4112890197324753,0.41082396697998047,0.8576,0.8622,0.97608,0.9765,42880.0,8622.0,48804.0,9765.0,50000,10000,99.2950599193573,1563,157,14
0,0.403185537443161,0.40285483531951904,0.8591,0.8607,0.97674,0.9767,42955.0,8607.0,48837.0,9767.0,50000,10000,99.64925122261047,1563,157,15
0,0.39522807741641997,0.43291896572113037,0.86318,0.8536,0.97694,0.9751,43159.0,8536.0,48847.0,9751.0,50000,10000,99.53297901153564,1563,157,16
0,0.3830313730120659,0.39885675983428953,0.86806,0.8663,0.97906,0.9768,43403.0,8663.0,48953.0,9768.0,50000,10000,99.94212532043457,1563,157,17
0,0.3747147737336159,0.39729556727409365,0.87172,0.8647,0.97916,0.976,43586.0,8647.0,48958.0,9760.0,50000,10000,99.23724341392517,1563,157,18
0,0.36911053536891936,0.3893187605857849,0.8726,0.8687,0.98004,0.9772,43630.0,8687.0,49002.0,9772.0,50000,10000,99.51324319839478,1563,157,19
0,0.3572603376054764,0.40882827258110044,0.87698,0.8625,0.98094,0.9766,43849.0,8625.0,49047.0,9766.0,50000,10000,100.10926747322083,1563,157,20
