,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.636264631729126,1.290873636817932,0.39234,0.5267,0.73208,0.8464,19617.0,5267.0,36604.0,8464.0,50000,10000,69.42781138420105,1563,157,0
0,1.2399979684066773,1.1332977581977843,0.55124,0.5965,0.85176,0.8795,27562.0,5965.0,42588.0,8795.0,50000,10000,68.64172434806824,1563,157,1
0,1.0143286537551879,0.8601751027107238,0.63906,0.6988,0.89426,0.9247,31953.0,6988.0,44713.0,9247.0,50000,10000,68.9085910320282,1563,157,2
0,0.8533163372039795,0.7053817214488983,0.70066,0.7544,0.92242,0.9443,35033.0,7544.0,46121.0,9443.0,50000,10000,69.06665539741516,1563,157,3
0,0.742086411819458,0.6691184602737427,0.74266,0.771,0.93682,0.9481,37133.0,7710.0,46841.0,9481.0,50000,10000,69.31057333946228,1563,157,4
0,0.663251534357071,0.5936341602325439,0.76978,0.7999,0.94818,0.9594,38489.0,7999.0,47409.0,9594.0,50000,10000,69.25375461578369,1563,157,5
0,0.6164194454860688,0.5668989812374114,0.78692,0.8034,0.95356,0.9616,39346.0,8034.0,47678.0,9616.0,50000,10000,69.33919668197632,1563,157,6
0,0.5759409856128692,0.5459554733753205,0.80032,0.8136,0.95794,0.9667,40016.0,8136.0,47897.0,9667.0,50000,10000,69.2656843662262,1563,157,7
0,0.5409700003671646,0.5273684536933899,0.81334,0.8208,0.96302,0.9679,40667.0,8208.0,48151.0,9679.0,50000,10000,69.11980843544006,1563,157,8
0,0.5107908239364624,0.49840134654045104,0.823,0.8279,0.96554,0.9689,41150.0,8279.0,48277.0,9689.0,50000,10000,69.28222346305847,1563,157,9
0,0.48873212114810943,0.4833089123725891,0.8322,0.8345,0.9677,0.9729,41610.0,8345.0,48385.0,9729.0,50000,10000,69.34235310554504,1563,157,10
0,0.4716751750612259,0.45819646382331847,0.83858,0.8398,0.9699,0.9724,41929.0,8398.0,48495.0,9724.0,50000,10000,69.40005826950073,1563,157,11
0,0.4534524043035507,0.44894099159240725,0.84412,0.847,0.97142,0.9743,42206.0,8470.0,48571.0,9743.0,50000,10000,69.4162323474884,1563,157,12
0,0.441446239528656,0.43224896125793455,0.84774,0.8503,0.97254,0.9744,42387.0,8503.0,48627.0,9744.0,50000,10000,69.44061923027039,1563,157,13
0,0.425797789812088,0.45004077930450437,0.85284,0.8477,0.97374,0.9751,42642.0,8477.0,48687.0,9751.0,50000,10000,69.41691279411316,1563,157,14
0,0.4173333417892456,0.4365238660812378,0.85622,0.8505,0.97644,0.9728,42811.0,8505.0,48822.0,9728.0,50000,10000,69.4221704006195,1563,157,15
0,0.4022321204137802,0.39298794727325437,0.86092,0.8665,0.97708,0.9789,43046.0,8665.0,48854.0,9789.0,50000,10000,69.40210890769958,1563,157,16
0,0.39265452575206755,0.40230677723884584,0.86476,0.8641,0.97722,0.9781,43238.0,8641.0,48861.0,9781.0,50000,10000,69.4531352519989,1563,157,17
0,0.38789297865867617,0.38082778186798094,0.86272,0.8684,0.97826,0.9803,43136.0,8684.0,48913.0,9803.0,50000,10000,69.5503408908844,1563,157,18
0,0.3800955129766464,0.4039386846542358,0.86918,0.8591,0.97868,0.9787,43459.0,8591.0,48934.0,9787.0,50000,10000,69.43931651115417,1563,157,19
0,0.3700054055261612,0.4078521710395813,0.87088,0.864,0.9799,0.9775,43544.0,8640.0,48995.0,9775.0,50000,10000,69.48073744773865,1563,157,20
0,0.36092851429224015,0.39727287583351134,0.87478,0.8637,0.98064,0.9795,43739.0,8637.0,49032.0,9795.0,50000,10000,69.49720358848572,1563,157,21
0,0.3580104693841934,0.39991384353637693,0.87682,0.8614,0.98118,0.9807,43841.0,8614.0,49059.0,9807.0,50000,10000,69.4640109539032,1563,157,22
