,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.8462561641693116,1.6259878889083863,0.2834,0.3759,0.6339,0.743,14170.0,3759.0,31695.0,7430.0,50000,10000,72.19294571876526,1563,157,0
0,1.5709429384994507,1.4270620361328126,0.41024,0.476,0.76138,0.8039,20512.0,4760.0,38069.0,8039.0,50000,10000,68.70623326301575,1563,157,1
0,1.4373489922714233,1.29097086353302,0.47028,0.529,0.80404,0.8387,23514.0,5290.0,40202.0,8387.0,50000,10000,69.10950207710266,1563,157,2
0,1.3591347314834594,1.1929669143676758,0.50252,0.5653,0.8225,0.8646,25126.0,5653.0,41125.0,8646.0,50000,10000,69.25934672355652,1563,157,3
0,1.2948145380020142,1.154855844116211,0.5282,0.5762,0.83872,0.8719,26410.0,5762.0,41936.0,8719.0,50000,10000,69.36830067634583,1563,157,4
0,1.24396884349823,1.0964526531219483,0.54812,0.6025,0.85168,0.8852,27406.0,6025.0,42584.0,8852.0,50000,10000,69.37858939170837,1563,157,5
0,1.2048076887893677,1.0857625087738036,0.56652,0.6119,0.86018,0.8834,28326.0,6119.0,43009.0,8834.0,50000,10000,69.37144374847412,1563,157,6
0,1.1602505949401856,1.0501669473648072,0.58118,0.6242,0.86908,0.8903,29059.0,6242.0,43454.0,8903.0,50000,10000,69.2751624584198,1563,157,7
0,1.1245468585968017,1.0028721584320068,0.59336,0.6404,0.877,0.8998,29668.0,6404.0,43850.0,8998.0,50000,10000,69.34432101249695,1563,157,8
0,1.0878766753387452,0.9551987771987915,0.61064,0.6643,0.88336,0.9089,30532.0,6643.0,44168.0,9089.0,50000,10000,69.46251440048218,1563,157,9
0,1.0524919916915894,0.9387253813743591,0.62368,0.6646,0.89076,0.909,31184.0,6646.0,44538.0,9090.0,50000,10000,69.43004512786865,1563,157,10
0,1.0225453968048095,0.914665869140625,0.6343,0.6774,0.89688,0.914,31715.0,6774.0,44844.0,9140.0,50000,10000,69.51531934738159,1563,157,11
0,0.9953189377593994,0.8992518231391907,0.64506,0.6843,0.90054,0.9157,32253.0,6843.0,45027.0,9157.0,50000,10000,69.4506402015686,1563,157,12
0,0.9717595147323609,0.879208438205719,0.65492,0.6903,0.90464,0.9181,32746.0,6903.0,45232.0,9181.0,50000,10000,69.48456573486328,1563,157,13
0,0.951247977104187,0.8617198693275452,0.66166,0.6988,0.90806,0.9232,33083.0,6988.0,45403.0,9232.0,50000,10000,69.532222032547,1563,157,14
0,0.9228286934089661,0.8442272650718688,0.67218,0.7028,0.91178,0.9256,33609.0,7028.0,45589.0,9256.0,50000,10000,69.50101566314697,1563,157,15
0,0.903232401638031,0.8183879126548768,0.67738,0.7095,0.91752,0.9295,33869.0,7095.0,45876.0,9295.0,50000,10000,69.58304286003113,1563,157,16
0,0.8803011937904358,0.8001396821975708,0.68746,0.7196,0.91978,0.9337,34373.0,7196.0,45989.0,9337.0,50000,10000,69.54870176315308,1563,157,17
0,0.8650943692970275,0.7950907881736755,0.69304,0.7231,0.92202,0.9354,34652.0,7231.0,46101.0,9354.0,50000,10000,69.4923894405365,1563,157,18
0,0.8459649654769897,0.7680233337402343,0.69838,0.7322,0.92502,0.936,34919.0,7322.0,46251.0,9360.0,50000,10000,69.53158855438232,1563,157,19
0,0.8269022262001038,0.7657528076171874,0.70574,0.7346,0.9281,0.9363,35287.0,7346.0,46405.0,9363.0,50000,10000,69.49298882484436,1563,157,20
0,0.8069032950782776,0.7557720191001892,0.7155,0.7352,0.9314,0.9418,35775.0,7352.0,46570.0,9418.0,50000,10000,69.4908607006073,1563,157,21
0,0.7854405355453491,0.737415765953064,0.72136,0.7455,0.93378,0.9398,36068.0,7455.0,46689.0,9398.0,50000,10000,69.57158207893372,1563,157,22
0,0.7699608822441101,0.7065125552177429,0.72752,0.7522,0.93544,0.9446,36376.0,7522.0,46772.0,9446.0,50000,10000,69.57689547538757,1563,157,23
0,0.7530934441757202,0.7043977680206299,0.73296,0.7562,0.93954,0.9442,36648.0,7562.0,46977.0,9442.0,50000,10000,69.58937168121338,1563,157,24
0,0.7325247193050385,0.6833834270477295,0.74058,0.7632,0.94126,0.9486,37029.0,7632.0,47063.0,9486.0,50000,10000,69.52900767326355,1563,157,25
0,0.7171807583808899,0.6931458276748658,0.74686,0.7624,0.94326,0.9448,37343.0,7624.0,47163.0,9448.0,50000,10000,69.60411143302917,1563,157,26
0,0.6989822859668732,0.6747193267822266,0.75258,0.7673,0.94578,0.9512,37629.0,7673.0,47289.0,9512.0,50000,10000,69.5384247303009,1563,157,27
0,0.6904295378208161,0.6774914162635803,0.75642,0.7613,0.9473,0.9495,37821.0,7613.0,47365.0,9495.0,50000,10000,69.59435844421387,1563,157,28
0,0.6673382414436341,0.6506706316947937,0.76532,0.777,0.9499,0.9524,38266.0,7770.0,47495.0,9524.0,50000,10000,69.6074104309082,1563,157,29
0,0.6521530555915832,0.6608147751808167,0.77054,0.7747,0.95192,0.9508,38527.0,7747.0,47596.0,9508.0,50000,10000,69.67895483970642,1563,157,30
0,0.6389584726333618,0.6601602634906769,0.77354,0.7766,0.95462,0.9525,38677.0,7766.0,47731.0,9525.0,50000,10000,69.68164086341858,1563,157,31
0,0.6235483497810363,0.6242602476119995,0.77996,0.7879,0.95566,0.954,38998.0,7879.0,47783.0,9540.0,50000,10000,69.57701182365417,1563,157,32
0,0.601417187128067,0.6282634747028351,0.79006,0.79,0.9572,0.9545,39503.0,7900.0,47860.0,9545.0,50000,10000,69.53757047653198,1563,157,33
0,0.5926521586990356,0.614908097743988,0.79302,0.793,0.9591,0.9564,39651.0,7930.0,47955.0,9564.0,50000,10000,69.57718014717102,1563,157,34
0,0.580509850730896,0.5977441139221191,0.79578,0.7959,0.95988,0.9585,39789.0,7959.0,47994.0,9585.0,50000,10000,69.60494565963745,1563,157,35
0,0.5605880653190612,0.6038983496665955,0.8033,0.7962,0.96352,0.9601,40165.0,7962.0,48176.0,9601.0,50000,10000,69.64971375465393,1563,157,36
0,0.5528750932407379,0.6014535455703736,0.80488,0.7996,0.96328,0.9589,40244.0,7996.0,48164.0,9589.0,50000,10000,69.60128712654114,1563,157,37
0,0.537720202755928,0.6038211047172546,0.81076,0.7969,0.96572,0.9576,40538.0,7969.0,48286.0,9576.0,50000,10000,69.47206044197083,1563,157,38
0,0.5194612119293213,0.5956629716873169,0.81578,0.8004,0.96836,0.9612,40789.0,8004.0,48418.0,9612.0,50000,10000,69.51400828361511,1563,157,39
0,0.5146210020542145,0.5783813681602478,0.81962,0.8047,0.96702,0.9618,40981.0,8047.0,48351.0,9618.0,50000,10000,69.56357669830322,1563,157,40
0,0.49762554282188415,0.5823201360702515,0.82524,0.8059,0.96962,0.9609,41262.0,8059.0,48481.0,9609.0,50000,10000,69.6347815990448,1563,157,41
0,0.48178148696899414,0.5664373285293579,0.83032,0.814,0.97066,0.9619,41516.0,8140.0,48533.0,9619.0,50000,10000,69.71235132217407,1563,157,42
0,0.4743545994186401,0.5732838833808899,0.83534,0.8108,0.97138,0.9631,41767.0,8108.0,48569.0,9631.0,50000,10000,69.6632649898529,1563,157,43
0,0.4615934927558899,0.5626678910255433,0.83748,0.8146,0.97318,0.9629,41874.0,8146.0,48659.0,9629.0,50000,10000,69.5296847820282,1563,157,44
0,0.4502622344827652,0.544847703075409,0.84136,0.82,0.97492,0.9634,42068.0,8200.0,48746.0,9634.0,50000,10000,69.66036677360535,1563,157,45
0,0.43900502362728117,0.5570698373794556,0.84536,0.819,0.9752,0.9658,42268.0,8190.0,48760.0,9658.0,50000,10000,69.62674951553345,1563,157,46
0,0.427227884759903,0.5560129984855652,0.8506,0.8172,0.97698,0.9629,42530.0,8172.0,48849.0,9629.0,50000,10000,69.57716536521912,1563,157,47
0,0.4188503621339798,0.5320565996170044,0.85164,0.8283,0.97728,0.9651,42582.0,8283.0,48864.0,9651.0,50000,10000,69.62683129310608,1563,157,48
0,0.4072863937187195,0.5195519291877747,0.85614,0.8275,0.97856,0.9685,42807.0,8275.0,48928.0,9685.0,50000,10000,69.58246493339539,1563,157,49
0,0.39785626389980316,0.5351518599510193,0.85862,0.8235,0.9793,0.9659,42931.0,8235.0,48965.0,9659.0,50000,10000,69.54772901535034,1563,157,50
0,0.38984963676929474,0.5513250078201294,0.8625,0.8238,0.98008,0.9678,43125.0,8238.0,49004.0,9678.0,50000,10000,69.65924644470215,1563,157,51
0,0.37759426770210264,0.521042514705658,0.86642,0.8312,0.98148,0.9684,43321.0,8312.0,49074.0,9684.0,50000,10000,69.72275280952454,1563,157,52
0,0.37125484126091,0.5463431553840638,0.8694,0.8274,0.98162,0.9681,43470.0,8274.0,49081.0,9681.0,50000,10000,69.755854845047,1563,157,53
0,0.36340087327480314,0.5370692414283752,0.87232,0.8259,0.98296,0.9687,43616.0,8259.0,49148.0,9687.0,50000,10000,69.55510640144348,1563,157,54
0,0.3497311268043518,0.5288867535591125,0.87638,0.8324,0.98374,0.9675,43819.0,8324.0,49187.0,9675.0,50000,10000,69.66096615791321,1563,157,55
0,0.34528558324337005,0.5153199764251709,0.87944,0.8392,0.98374,0.9703,43972.0,8392.0,49187.0,9703.0,50000,10000,69.65483927726746,1563,157,56
0,0.33654891370773315,0.5488577713966369,0.88018,0.8248,0.98458,0.968,44009.0,8248.0,49229.0,9680.0,50000,10000,69.62103319168091,1563,157,57
0,0.32712785097122193,0.5298830290794373,0.88344,0.8337,0.98538,0.9691,44172.0,8337.0,49269.0,9691.0,50000,10000,69.67563128471375,1563,157,58
0,0.3224297435259819,0.5407914254188537,0.88472,0.8333,0.98596,0.9671,44236.0,8333.0,49298.0,9671.0,50000,10000,69.63436460494995,1563,157,59
0,0.31033414236545565,0.5150877670288085,0.8899,0.8369,0.98694,0.9695,44495.0,8369.0,49347.0,9695.0,50000,10000,69.63825297355652,1563,157,60
0,0.3067467578649521,0.5350388207435608,0.89014,0.8387,0.98654,0.9693,44507.0,8387.0,49327.0,9693.0,50000,10000,69.61037540435791,1563,157,61
0,0.2990064754009247,0.5432590238571167,0.89286,0.8372,0.9878,0.9671,44643.0,8372.0,49390.0,9671.0,50000,10000,69.57132363319397,1563,157,62
0,0.2887360509586334,0.5462823806762696,0.89826,0.8345,0.98888,0.9687,44913.0,8345.0,49444.0,9687.0,50000,10000,69.65538620948792,1563,157,63
0,0.28223114254951476,0.5479045551300049,0.8986,0.8368,0.98872,0.9683,44930.0,8368.0,49436.0,9683.0,50000,10000,69.5802948474884,1563,157,64
0,0.28425815031528473,0.5395178330421447,0.90014,0.8405,0.98876,0.9707,45007.0,8405.0,49438.0,9707.0,50000,10000,69.58803582191467,1563,157,65
0,0.2720607391858101,0.5275700921058655,0.90354,0.8413,0.9905,0.9708,45177.0,8413.0,49525.0,9708.0,50000,10000,69.64349508285522,1563,157,66
0,0.26992168435812,0.5386309507369995,0.9042,0.8403,0.9904,0.9704,45210.0,8403.0,49520.0,9704.0,50000,10000,69.6003987789154,1563,157,67
0,0.26131358154058454,0.5361940380096436,0.9066,0.8424,0.99074,0.9698,45330.0,8424.0,49537.0,9698.0,50000,10000,69.55033493041992,1563,157,68
