,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,2.032341548576355,1.8104371713638305,0.21654,0.3027,0.5349,0.6583,10827.0,3027.0,26745.0,6583.0,50000,10000,46.305912017822266,782,157,0
0,1.7749963326644898,1.672534965324402,0.32088,0.3703,0.67652,0.718,16044.0,3703.0,33826.0,7180.0,50000,10000,42.62913942337036,782,157,1
0,1.6744365382766724,1.5617113306045531,0.37038,0.4172,0.71786,0.7591,18519.0,4172.0,35893.0,7591.0,50000,10000,42.97611403465271,782,157,2
0,1.5816179930114747,1.485220876121521,0.413,0.4488,0.75372,0.7856,20650.0,4488.0,37686.0,7856.0,50000,10000,41.446126222610474,782,157,3
0,1.5180500654602052,1.4254022121429444,0.43912,0.4715,0.7774,0.8063,21956.0,4715.0,38870.0,8063.0,50000,10000,42.47201442718506,782,157,4
0,1.455896417541504,1.3937645971298218,0.4643,0.4929,0.79578,0.8143,23215.0,4929.0,39789.0,8143.0,50000,10000,43.005205392837524,782,157,5
0,1.403411222038269,1.313638360118866,0.48846,0.5207,0.81056,0.8337,24423.0,5207.0,40528.0,8337.0,50000,10000,42.4096245765686,782,157,6
0,1.3473292009735107,1.2526099637985229,0.51114,0.5443,0.82518,0.8504,25557.0,5443.0,41259.0,8504.0,50000,10000,41.61648631095886,782,157,7
0,1.2907912058639526,1.2251188440322875,0.53418,0.5538,0.83834,0.8533,26709.0,5538.0,41917.0,8533.0,50000,10000,42.32702589035034,782,157,8
0,1.2493600486755372,1.18529386177063,0.55018,0.5674,0.84864,0.8673,27509.0,5674.0,42432.0,8673.0,50000,10000,42.585859060287476,782,157,9
0,1.1935209943008422,1.1501752694129943,0.57088,0.5863,0.86228,0.8733,28544.0,5863.0,43114.0,8733.0,50000,10000,42.27157163619995,782,157,10
0,1.1529013384246827,1.1075417066574096,0.58494,0.604,0.86982,0.8836,29247.0,6040.0,43491.0,8836.0,50000,10000,42.267154693603516,782,157,11
0,1.1164024838256836,1.0773872114181517,0.59686,0.6178,0.87848,0.8901,29843.0,6178.0,43924.0,8901.0,50000,10000,43.00890135765076,782,157,12
0,1.0760068170547485,1.0379233597755433,0.61428,0.6315,0.88646,0.8942,30714.0,6315.0,44323.0,8942.0,50000,10000,42.53662896156311,782,157,13
0,1.0414624582099914,1.0191274960517884,0.6261,0.6391,0.89214,0.8973,31305.0,6391.0,44607.0,8973.0,50000,10000,41.2921085357666,782,157,14
0,1.0070230686950683,0.9983894759178161,0.63864,0.6413,0.8992,0.8991,31932.0,6413.0,44960.0,8991.0,50000,10000,42.97983145713806,782,157,15
0,0.97838203830719,0.9791495301246643,0.6501,0.6522,0.90246,0.9033,32505.0,6522.0,45123.0,9033.0,50000,10000,42.51336479187012,782,157,16
0,0.9516312622833252,0.9446353441238403,0.66178,0.6666,0.90758,0.9106,33089.0,6666.0,45379.0,9106.0,50000,10000,42.64563608169556,782,157,17
0,0.9187534832572937,0.9129494334220887,0.67384,0.6743,0.91344,0.9154,33692.0,6743.0,45672.0,9154.0,50000,10000,41.81462574005127,782,157,18
0,0.8908492092895508,0.9272506062507629,0.68188,0.6769,0.91838,0.9126,34094.0,6769.0,45919.0,9126.0,50000,10000,42.801703453063965,782,157,19
0,0.8642927077674866,0.8891635166168212,0.69402,0.6874,0.92226,0.9204,34701.0,6874.0,46113.0,9204.0,50000,10000,42.851996421813965,782,157,20
0,0.8402998532485962,0.8744143262863159,0.70124,0.6937,0.92704,0.9222,35062.0,6937.0,46352.0,9222.0,50000,10000,41.24801683425903,782,157,21
0,0.8104835427856445,0.8419920274734497,0.71192,0.706,0.92964,0.9267,35596.0,7060.0,46482.0,9267.0,50000,10000,43.0208899974823,782,157,22
0,0.7863193447494506,0.8256934936523438,0.71946,0.7196,0.93358,0.9278,35973.0,7196.0,46679.0,9278.0,50000,10000,42.47209715843201,782,157,23
0,0.7664020811843872,0.8007822462081909,0.72936,0.7222,0.9368,0.9344,36468.0,7222.0,46840.0,9344.0,50000,10000,42.95299792289734,782,157,24
0,0.7409113520240783,0.8006661799430848,0.73702,0.7249,0.94,0.9299,36851.0,7249.0,47000.0,9299.0,50000,10000,41.51961064338684,782,157,25
0,0.7194541524124145,0.776949720287323,0.74528,0.738,0.9423,0.9351,37264.0,7380.0,47115.0,9351.0,50000,10000,42.44817590713501,782,157,26
