Trial,Model,Batch Size,Average Inference Time(Image),Average Inference Time(Batch),Images/s,Batches/s
1,<class 'shufflenet_alt.ShuffleNetSE'>,32,0.000295444,0.009439121,3384.730597,105.9420677
1,<class 'shufflenet_alt.ShuffleNetSE'>,64,0.000158654,0.010105323,6303.041305,98.95774849
1,<class 'shufflenet_alt.ShuffleNetSE'>,128,7.61E-05,0.009634944,13137.83168,103.7888702
1,<class 'shufflenet_alt.ShuffleNetV2'>,32,0.000235631,0.007528141,4243.927394,132.8349274
1,<class 'shufflenet_alt.ShuffleNetV2'>,64,0.000120827,0.007695992,8276.290462,129.9377603
1,<class 'shufflenet_alt.ShuffleNetV2'>,128,5.99E-05,0.007583983,16690.73795,131.8568298
1,<class 'shufflenet_alt.ShuffleNetSLE'>,32,0.000258921,0.008272242,3862.179362,120.886214
1,<class 'shufflenet_alt.ShuffleNetSLE'>,64,0.00013463,0.008575136,7427.785342,116.6162299
1,<class 'shufflenet_alt.ShuffleNetSLE'>,128,6.80E-05,0.008609482,14702.65905,116.1510065
2,<class 'shufflenet_alt.ShuffleNetSE'>,32,0.00029322,0.009368045,3410.410838,106.7458592
2,<class 'shufflenet_alt.ShuffleNetSE'>,64,0.000158033,0.010065789,6327.796536,99.34640561
2,<class 'shufflenet_alt.ShuffleNetSE'>,128,7.59E-05,0.009601318,13183.84345,104.1523633
2,<class 'shufflenet_alt.ShuffleNetV2'>,32,0.000230539,0.007365462,4337.661545,135.7688064
2,<class 'shufflenet_alt.ShuffleNetV2'>,64,0.000123326,0.007855178,8108.570412,127.3045555
2,<class 'shufflenet_alt.ShuffleNetV2'>,128,6.02E-05,0.007622203,16607.04691,131.1956706
2,<class 'shufflenet_alt.ShuffleNetSLE'>,32,0.000261669,0.008360022,3821.626616,119.6169131
2,<class 'shufflenet_alt.ShuffleNetSLE'>,64,0.000136359,0.00868529,7333.5801,115.1372076
2,<class 'shufflenet_alt.ShuffleNetSLE'>,128,6.89E-05,0.008726715,14505.14716,114.5906625
3,<class 'shufflenet_alt.ShuffleNetSE'>,32,0.000294784,0.009418021,3392.313578,106.179415
3,<class 'shufflenet_alt.ShuffleNetSE'>,64,0.000156751,0.00998417,6379.525671,100.158553
3,<class 'shufflenet_alt.ShuffleNetSE'>,128,7.88E-05,0.009969992,12696.32702,100.3009835
3,<class 'shufflenet_alt.ShuffleNetV2'>,32,0.000232749,0.007436076,4296.470635,134.4795309
3,<class 'shufflenet_alt.ShuffleNetV2'>,64,0.000126429,0.008052771,7909.608441,124.1808525
3,<class 'shufflenet_alt.ShuffleNetV2'>,128,5.91E-05,0.007482574,16916.94318,133.6438512
3,<class 'shufflenet_alt.ShuffleNetSLE'>,32,0.00026042,0.008320131,3839.949258,120.1904118
3,<class 'shufflenet_alt.ShuffleNetSLE'>,64,0.000135085,0.008604165,7402.724937,116.2227815
3,<class 'shufflenet_alt.ShuffleNetSLE'>,128,6.54E-05,0.008280866,15286.11648,120.7603202
4,<class 'shufflenet_alt.ShuffleNetSE'>,32,0.000291436,0.009311067,3431.280258,107.3990721
4,<class 'shufflenet_alt.ShuffleNetSE'>,64,0.000156159,0.009946422,6403.736555,100.5386639
4,<class 'shufflenet_alt.ShuffleNetSE'>,128,7.45E-05,0.009432572,13419.69865,106.0156193
4,<class 'shufflenet_alt.ShuffleNetSLE'>,32,0.000260925,0.008336246,3832.526176,119.9580693
4,<class 'shufflenet_alt.ShuffleNetSLE'>,64,0.000135774,0.008648031,7365.175605,115.633257
4,<class 'shufflenet_alt.ShuffleNetSLE'>,128,6.67E-05,0.008444837,14989.30919,118.4155426
4,<class 'shufflenet_alt.ShuffleNetV2'>,32,0.000232462,0.007426896,4301.780987,134.6457449
4,<class 'shufflenet_alt.ShuffleNetV2'>,64,0.000122551,0.007805777,8159.887972,128.1102412
4,<class 'shufflenet_alt.ShuffleNetV2'>,128,5.81E-05,0.007357827,17203.75912,135.9096971
