,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,2.0450134798049926,1.8473541984558106,0.23478,0.3178,0.5498,0.665,11739.0,3178.0,27490.0,6650.0,50000,10000,85.24949932098389,1563,313,0
0,1.7660870752716065,1.6789414251327515,0.34742,0.3846,0.6952,0.7303,17371.0,3846.0,34760.0,7303.0,50000,10000,85.05903816223145,1563,313,1
0,1.6200103255844116,1.590618159866333,0.40514,0.408,0.75022,0.7613,20257.0,4080.0,37511.0,7613.0,50000,10000,86.01193475723267,1563,313,2
0,1.503183998298645,1.5118846578598022,0.4503,0.4445,0.78568,0.7883,22515.0,4445.0,39284.0,7883.0,50000,10000,86.40351390838623,1563,313,3
0,1.407285514755249,1.4692178029060363,0.49038,0.466,0.81234,0.8002,24519.0,4660.0,40617.0,8002.0,50000,10000,85.26473212242126,1563,313,4
0,1.3105870654678344,1.4377220759391784,0.5276,0.4823,0.83624,0.8095,26380.0,4823.0,41812.0,8095.0,50000,10000,85.90429162979126,1563,313,5
0,1.2280890572357177,1.4218076376914979,0.55936,0.4903,0.85528,0.815,27968.0,4903.0,42764.0,8150.0,50000,10000,85.21612191200256,1563,313,6
0,1.1508450590515136,1.410983786392212,0.587,0.4951,0.87266,0.8173,29350.0,4951.0,43633.0,8173.0,50000,10000,85.75543689727783,1563,313,7
0,1.0673876634025574,1.4095205153465271,0.61888,0.5048,0.88774,0.8214,30944.0,5048.0,44387.0,8214.0,50000,10000,84.89982318878174,1563,313,8
0,0.9983649446487427,1.4231429908752442,0.64432,0.5106,0.90204,0.8194,32216.0,5106.0,45102.0,8194.0,50000,10000,84.88603782653809,1563,313,9
