,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,2.2566472219085694,2.236409180831909,0.14524,0.165,0.39532,0.4276,7262.0,1650.0,19766.0,4276.0,50000,10000,59.180981159210205,1563,313,0
0,2.1922330715942384,2.1636287563323973,0.18732,0.2004,0.47016,0.4948,9366.0,2004.0,23508.0,4948.0,50000,10000,60.158852338790894,1563,313,1
0,2.10087138130188,2.0647024555206297,0.21896,0.2265,0.53324,0.5447,10948.0,2265.0,26662.0,5447.0,50000,10000,59.584832191467285,1563,313,2
0,2.0183357706451415,2.001828238296509,0.2489,0.2491,0.57372,0.5833,12445.0,2491.0,28686.0,5833.0,50000,10000,59.26938724517822,1563,313,3
0,1.9632281315994262,1.9522084312438965,0.27056,0.2662,0.6035,0.6106,13528.0,2662.0,30175.0,6106.0,50000,10000,57.931567668914795,1563,313,4
0,1.9189132906723023,1.917632424545288,0.28932,0.2823,0.62496,0.6303,14466.0,2823.0,31248.0,6303.0,50000,10000,58.607683181762695,1563,313,5
0,1.8806186290740967,1.889257611465454,0.30288,0.2908,0.6428,0.6391,15144.0,2908.0,32140.0,6391.0,50000,10000,58.722705364227295,1563,313,6
0,1.8431291724014283,1.8606603565216064,0.32082,0.3062,0.65974,0.6555,16041.0,3062.0,32987.0,6555.0,50000,10000,58.83681082725525,1563,313,7
0,1.8139647608184815,1.8324893384933472,0.33202,0.3139,0.6727,0.6631,16601.0,3139.0,33635.0,6631.0,50000,10000,59.01391124725342,1563,313,8
0,1.784496147994995,1.8169913917541505,0.34386,0.3211,0.68594,0.6737,17193.0,3211.0,34297.0,6737.0,50000,10000,57.30201244354248,1563,313,9
0,1.7573160986328125,1.797931203842163,0.35746,0.3332,0.6968,0.6796,17873.0,3332.0,34840.0,6796.0,50000,10000,58.60507297515869,1563,313,10
0,1.7242575873947144,1.7777525287628173,0.36956,0.3388,0.7096,0.6845,18478.0,3388.0,35480.0,6845.0,50000,10000,57.859539270401,1563,313,11
0,1.704533904838562,1.764800206565857,0.37588,0.3472,0.71632,0.6947,18794.0,3472.0,35816.0,6947.0,50000,10000,57.64280939102173,1563,313,12
0,1.6821659061431884,1.7536501848220825,0.38452,0.3516,0.72338,0.695,19226.0,3516.0,36169.0,6950.0,50000,10000,56.662365198135376,1563,313,13
0,1.6577919253540039,1.7374838178634644,0.39528,0.3574,0.73486,0.7091,19764.0,3574.0,36743.0,7091.0,50000,10000,57.61762094497681,1563,313,14
0,1.6349442518234254,1.726751895904541,0.40402,0.3662,0.74236,0.7114,20201.0,3662.0,37118.0,7114.0,50000,10000,57.52885866165161,1563,313,15
0,1.6162390600967407,1.7121652690887452,0.41114,0.3668,0.74746,0.7154,20557.0,3668.0,37373.0,7154.0,50000,10000,58.10886240005493,1563,313,16
0,1.5971140223693847,1.6998073587417601,0.41726,0.3694,0.75326,0.7192,20863.0,3694.0,37663.0,7192.0,50000,10000,56.753214836120605,1563,313,17
0,1.5741262045669555,1.6945289974212647,0.42914,0.3717,0.76224,0.7207,21457.0,3717.0,38112.0,7207.0,50000,10000,57.58296012878418,1563,313,18
0,1.5564277717590331,1.6858096071243287,0.43336,0.38,0.76854,0.7277,21668.0,3800.0,38427.0,7277.0,50000,10000,57.62021350860596,1563,313,19
0,1.5415746789932252,1.6795633354187012,0.43948,0.3768,0.77086,0.7269,21974.0,3768.0,38543.0,7269.0,50000,10000,57.443278312683105,1563,313,20
0,1.521016261291504,1.6765782888412475,0.44968,0.3836,0.77736,0.7314,22484.0,3836.0,38868.0,7314.0,50000,10000,56.43302655220032,1563,313,21
0,1.502761015510559,1.6725870090484618,0.45796,0.3841,0.7825,0.7298,22898.0,3841.0,39125.0,7298.0,50000,10000,57.36573314666748,1563,313,22
0,1.482850782775879,1.6643521924972535,0.4647,0.3878,0.7893,0.7345,23235.0,3878.0,39465.0,7345.0,50000,10000,57.5282244682312,1563,313,23
0,1.4733357442474366,1.662995895576477,0.4662,0.3883,0.79458,0.7352,23310.0,3883.0,39729.0,7352.0,50000,10000,56.62601184844971,1563,313,24
