,loss_train,loss_test,top1_acc_train,top1_acc_test,top3_acc_train,top3_acc_test,running_corrects_1_train,running_corrects_1_test,running_corrects_3_train,running_corrects_3_test,dataset_sizes_train,dataset_sizes_test,time,batches_train,batches_test,epoch
0,1.7568445615768433,1.5034228719711304,0.3336,0.4429,0.6792,0.7892,16680.0,4429.0,33960.0,7892.0,50000,10000,38.18699860572815,391,157,0
0,1.3825632416152953,1.2338355693817138,0.49436,0.5573,0.81774,0.8531,24718.0,5573.0,40887.0,8531.0,50000,10000,37.2869770526886,391,157,1
0,1.154166696395874,1.1000245937347413,0.58442,0.618,0.86996,0.8837,29221.0,6180.0,43498.0,8837.0,50000,10000,37.988399505615234,391,157,2
0,0.9852335519790649,0.906916847038269,0.65,0.6802,0.90068,0.916,32500.0,6802.0,45034.0,9160.0,50000,10000,38.0905978679657,391,157,3
0,0.8503249447631835,0.8019597918510437,0.69932,0.7203,0.92336,0.9301,34966.0,7203.0,46168.0,9301.0,50000,10000,37.55592918395996,391,157,4
0,0.7448655950927734,0.7278135969161987,0.741,0.7429,0.93722,0.9441,37050.0,7429.0,46861.0,9441.0,50000,10000,37.50293159484863,391,157,5
0,0.6688672932815551,0.7064700630187988,0.76516,0.7663,0.9478,0.9422,38258.0,7663.0,47390.0,9422.0,50000,10000,37.17404270172119,391,157,6
0,0.6175892939186096,0.6315410413742065,0.78056,0.7837,0.95544,0.9526,39028.0,7837.0,47772.0,9526.0,50000,10000,37.60041570663452,391,157,7
0,0.5709228344917298,0.5831129772663116,0.80062,0.8031,0.95962,0.9594,40031.0,8031.0,47981.0,9594.0,50000,10000,38.300583362579346,391,157,8
0,0.5290650164222718,0.602402189874649,0.81396,0.7945,0.96336,0.9584,40698.0,7945.0,48168.0,9584.0,50000,10000,37.6411018371582,391,157,9
0,0.4995778247451782,0.5463647452354431,0.82634,0.8148,0.96788,0.9625,41317.0,8148.0,48394.0,9625.0,50000,10000,37.59378981590271,391,157,10
0,0.46829475496292117,0.5373851411819458,0.83732,0.8157,0.97078,0.9652,41866.0,8157.0,48539.0,9652.0,50000,10000,37.66203808784485,391,157,11
0,0.44557042791366575,0.5246580025672912,0.84538,0.8265,0.9732,0.965,42269.0,8265.0,48660.0,9650.0,50000,10000,37.33628463745117,391,157,12
0,0.42220463837623595,0.5262403460979461,0.85286,0.8185,0.97496,0.9691,42643.0,8185.0,48748.0,9691.0,50000,10000,37.22955513000488,391,157,13
0,0.40303971154212953,0.48955368995666504,0.85884,0.837,0.978,0.9683,42942.0,8370.0,48900.0,9683.0,50000,10000,37.07314682006836,391,157,14
0,0.3794934344768524,0.5358222127914428,0.8683,0.8236,0.97938,0.9654,43415.0,8236.0,48969.0,9654.0,50000,10000,37.33052396774292,391,157,15
0,0.3714011690235138,0.47078229389190673,0.86942,0.8421,0.98,0.97,43471.0,8421.0,49000.0,9700.0,50000,10000,37.54887342453003,391,157,16
0,0.35883927887916567,0.4838158101081848,0.87482,0.8415,0.98152,0.969,43741.0,8415.0,49076.0,9690.0,50000,10000,37.436097145080566,391,157,17
0,0.3432927779388428,0.4570862031459808,0.8802,0.8464,0.98334,0.9727,44010.0,8464.0,49167.0,9727.0,50000,10000,37.87298917770386,391,157,18
0,0.3314617477226257,0.4375576448440552,0.88264,0.8574,0.98378,0.9747,44132.0,8574.0,49189.0,9747.0,50000,10000,37.520490646362305,391,157,19
0,0.3169001669502258,0.4853487825155258,0.88896,0.843,0.98466,0.9726,44448.0,8430.0,49233.0,9726.0,50000,10000,37.16401767730713,391,157,20
0,0.3080700764274597,0.4677623119831085,0.89202,0.8495,0.98516,0.9724,44601.0,8495.0,49258.0,9724.0,50000,10000,37.571011543273926,391,157,21
0,0.29369815366744995,0.4577569591999054,0.89582,0.85,0.98698,0.9727,44791.0,8500.0,49349.0,9727.0,50000,10000,37.63603949546814,391,157,22
0,0.2910380782651901,0.43286876883506775,0.89716,0.8524,0.98708,0.9743,44858.0,8524.0,49354.0,9743.0,50000,10000,37.780251026153564,391,157,23
0,0.27735904819011686,0.47447114820480346,0.90238,0.8499,0.98862,0.9733,45119.0,8499.0,49431.0,9733.0,50000,10000,37.72597932815552,391,157,24
0,0.2700257195854187,0.44474829120635984,0.9046,0.8588,0.98838,0.9763,45230.0,8588.0,49419.0,9763.0,50000,10000,37.813695192337036,391,157,25
0,0.26268129698753356,0.4270029838085175,0.90568,0.8635,0.98894,0.9772,45284.0,8635.0,49447.0,9772.0,50000,10000,37.72741150856018,391,157,26
0,0.2556927928161621,0.4491232836723328,0.90968,0.8607,0.99022,0.9754,45484.0,8607.0,49511.0,9754.0,50000,10000,37.780648946762085,391,157,27
0,0.2464688700389862,0.41376107692718506,0.91256,0.873,0.99064,0.9783,45628.0,8730.0,49532.0,9783.0,50000,10000,37.911818981170654,391,157,28
0,0.244284600276947,0.4398163554191589,0.91286,0.8645,0.98978,0.975,45643.0,8645.0,49489.0,9750.0,50000,10000,37.28653883934021,391,157,29
0,0.23263722432136535,0.44718322596549986,0.91758,0.8613,0.99116,0.9769,45879.0,8613.0,49558.0,9769.0,50000,10000,37.549495697021484,391,157,30
0,0.22973098422527313,0.4180037078857422,0.91864,0.8687,0.9917,0.9785,45932.0,8687.0,49585.0,9785.0,50000,10000,37.57556653022766,391,157,31
0,0.22043051112174988,0.4689083617687225,0.92164,0.8572,0.99252,0.9729,46082.0,8572.0,49626.0,9729.0,50000,10000,37.59523344039917,391,157,32
0,0.21792981512069703,0.40774922399520874,0.92194,0.8712,0.99252,0.9786,46097.0,8712.0,49626.0,9786.0,50000,10000,37.22167134284973,391,157,33
0,0.20925573878765105,0.438565872168541,0.92598,0.8662,0.99382,0.9777,46299.0,8662.0,49691.0,9777.0,50000,10000,37.49612045288086,391,157,34
0,0.2113834299468994,0.41385810918807986,0.92456,0.8739,0.99274,0.9788,46228.0,8739.0,49637.0,9788.0,50000,10000,37.23612952232361,391,157,35
0,0.20102069333076478,0.43951177730560304,0.9274,0.8665,0.99376,0.979,46370.0,8665.0,49688.0,9790.0,50000,10000,37.68738770484924,391,157,36
0,0.1972265626525879,0.4026483603477478,0.92982,0.8768,0.99358,0.979,46491.0,8768.0,49679.0,9790.0,50000,10000,37.92101836204529,391,157,37
0,0.19374973003864288,0.4154517730951309,0.9303,0.8743,0.99356,0.9775,46515.0,8743.0,49678.0,9775.0,50000,10000,37.368146657943726,391,157,38
0,0.19303019822120668,0.40733772230148313,0.93086,0.8792,0.99404,0.9795,46543.0,8792.0,49702.0,9795.0,50000,10000,36.703392028808594,391,157,39
0,0.1831476453781128,0.38777031364440917,0.93608,0.8838,0.99512,0.9826,46804.0,8838.0,49756.0,9826.0,50000,10000,37.005916357040405,391,157,40
0,0.18274219407558442,0.41356231412887573,0.93472,0.8737,0.99466,0.9787,46736.0,8737.0,49733.0,9787.0,50000,10000,36.878729820251465,391,157,41
0,0.17783184134483337,0.4095766555547714,0.937,0.8793,0.99466,0.9804,46850.0,8793.0,49733.0,9804.0,50000,10000,37.680988073349,391,157,42
0,0.17545866662979126,0.398666054725647,0.9381,0.8831,0.99554,0.9817,46905.0,8831.0,49777.0,9817.0,50000,10000,37.758912801742554,391,157,43
0,0.17356665451526643,0.3939113736152649,0.93836,0.8833,0.99512,0.9803,46918.0,8833.0,49756.0,9803.0,50000,10000,37.1207218170166,391,157,44
0,0.17027232731342315,0.4110308663845062,0.9394,0.8797,0.99566,0.9818,46970.0,8797.0,49783.0,9818.0,50000,10000,36.91835117340088,391,157,45
